descar,category
"apartment_(1_bedroom)_in_city_centre_(usd)",1
"apartment_(1_bedroom)_outside_of_centre_(usd)",1
"apartment_(3_bedrooms)_in_city_centre_(usd)",1
"apartment_(3_bedrooms)_outside_of_centre_(usd)",1
"price_per_square_meter_to_buy_apartment_in_city_centre_(usd)",1
"price_per_square_meter_to_buy_apartment_outside_of_centre_(usd)",1
"basic_(electricity,_heating,_cooling,_water,_garbage)_for_85m2_apartment_(usd)",2
"internet_(60_mbps_or_more,_unlimited_data,_cable/adsl)_(usd)",2
"one-way_ticket_(local_transport)_(usd)",3
"monthly_pass_(regular_price)_(usd)",3
"taxi_start_(normal_tariff)_(usd)",3
"taxi_1km_(normal_tariff)_(usd)",3
"taxi_1hour_waiting_(normal_tariff)_(usd)",3
"gasoline_(1_liter)_(usd)",3
"milk_(regular),_(1_liter)_(usd)",4
"loaf_of_fresh_white_bread_(500g)_(usd)",4
"rice_(white),_(1kg)_(usd)",4
"eggs_(regular)_(12)_(usd)",4
"local_cheese_(1kg)_(usd)",4
"chicken_fillets_(1kg)_(usd)",4
"beef_round_(1kg)_(or_equivalent_back_leg_red_meat)_(usd)",4
"apples_(1kg)_(usd)",4
"banana_(1kg)_(usd)",4
"oranges_(1kg)_(usd)",4
"tomato_(1kg)_(usd)",4
"potato_(1kg)_(usd)",4
"onion_(1kg)_(usd)",4
"lettuce_(1_head)_(usd)",4
"water_(1.5_liter_bottle,_at_the_market)_(usd)",4
"bottle_of_wine_(mid-range,_at_the_market)_(usd)",4
"domestic_beer_(0.5_liter_bottle,_at_the_market)_(usd)",4
"imported_beer_(0.33_liter_bottle,_at_the_market)_(usd)",4
"meal,_inexpensive_restaurant_(usd)",5
"cappuccino_(regular,_in_restaurants)_(usd)",5
"mcmeal_at_mcdonalds_(or_equivalent_combo_meal)_(usd)",5
"fitness_club,_monthly_fee_for_1_adult_(usd)",5
"tennis_court_rent_(1_hour_on_weekend)_(usd)",5
"cinema,_international_release,_1_seat_(usd)",5
"1_pair_of_jeans_(levis_501_or_similar)_(usd)",5
"1_summer_dress_in_a_chain_store_(zara,_h&m,_…)_(usd)",5
"1_pair_of_nike_running_shoes_(mid-range)_(usd)",5
"1_pair_of_men_leather_business_shoes_(usd)",5
"cigarettes_20_pack_(marlboro)_(usd)",5
"average_monthly_net_salary_(after_tax)_(usd)",6
